implementation,tokens,features,dtype,device,latency_us,estimated_bytes,effective_bandwidth_gb_s,max_abs_error,mean_abs_error,relative_l2_error
torch_add_mul,1,2048,bfloat16,cuda,9.824000298976898,24576,2.5016285883622604,0.0,0.0,0.0
torch_clone_add_mul,1,2048,bfloat16,cuda,13.088000006973743,32768,2.50366748032855,0.0,0.0,0.0
triton_add_mul,1,2048,bfloat16,cuda,21.503999829292297,16384,0.761904767953079,0.00390625,0.00011038745287805796,0.002543569542467594
triton_copy_add_mul,1,2048,bfloat16,cuda,16.720000654459,16384,0.9799042678644039,0.00390625,0.00011038745287805796,0.002543569542467594
torch_add_mul,1,4096,bfloat16,cuda,9.375999681651592,49152,5.242320997107993,0.0,0.0,0.0
torch_clone_add_mul,1,4096,bfloat16,cuda,12.912000063806772,65536,5.075588574670313,0.0,0.0,0.0
triton_add_mul,1,4096,bfloat16,cuda,15.08800033479929,32768,2.1717921045125625,0.00390625,0.00011718558380380273,0.002722374862059951
triton_copy_add_mul,1,4096,bfloat16,cuda,14.527999795973301,32768,2.255506639605147,0.00390625,0.00011718558380380273,0.002722374862059951
torch_add_mul,1,8192,bfloat16,cuda,9.344000369310379,98304,10.520547529393472,0.0,0.0,0.0
torch_clone_add_mul,1,8192,bfloat16,cuda,13.008000329136848,131072,10.07626050765155,0.0,0.0,0.0
triton_add_mul,1,8192,bfloat16,cuda,14.847999904304743,65536,4.413793131895142,0.0078125,0.00011402278323657811,0.002717912895604968
triton_copy_add_mul,1,8192,bfloat16,cuda,14.76799976080656,65536,4.437703213804815,0.0078125,0.00011402278323657811,0.002717912895604968
torch_add_mul,1,11008,bfloat16,cuda,9.440000168979168,132096,13.993220088499715,0.0,0.0,0.0
torch_clone_add_mul,1,11008,bfloat16,cuda,13.055999763309956,176128,13.49019632299289,0.0,0.0,0.0
triton_add_mul,1,11008,bfloat16,cuda,15.359999611973763,88064,5.733333478169519,0.0078125,0.00011221477325307205,0.0027249467093497515
triton_copy_add_mul,1,11008,bfloat16,cuda,14.415999874472618,88064,6.108768088708218,0.0078125,0.00011221477325307205,0.0027249467093497515
torch_add_mul,1,16384,bfloat16,cuda,9.360000025480986,196608,21.005128147945367,0.0,0.0,0.0
torch_clone_add_mul,1,16384,bfloat16,cuda,12.784000020474195,262144,20.5056320072093,0.0,0.0,0.0
triton_add_mul,1,16384,bfloat16,cuda,14.719999860972166,131072,8.90434791018697,0.0078125,0.00011651114618871361,0.00282008433714509
triton_copy_add_mul,1,16384,bfloat16,cuda,14.783999882638454,131072,8.865800936181284,0.0078125,0.00011651114618871361,0.00282008433714509
torch_add_mul,8,2048,bfloat16,cuda,9.279999881982803,196608,21.186207165984566,0.0,0.0,0.0
torch_clone_add_mul,8,2048,bfloat16,cuda,12.896000407636166,262144,20.32754278177407,0.0,0.0,0.0
triton_add_mul,8,2048,bfloat16,cuda,14.431999996304512,131072,9.08203991363377,0.0078125,0.00011651114618871361,0.00282008433714509
triton_copy_add_mul,8,2048,bfloat16,cuda,14.336000196635723,131072,9.142857017451709,0.0078125,0.00011651114618871361,0.00282008433714509
torch_add_mul,8,4096,bfloat16,cuda,9.503999724984169,393216,41.37373857096308,0.0,0.0,0.0
torch_clone_add_mul,8,4096,bfloat16,cuda,12.895999941974878,524288,40.65508703156144,0.0,0.0,0.0
triton_add_mul,8,4096,bfloat16,cuda,15.15199989080429,262144,17.300950494270694,0.0078125,0.00011418563371989876,0.0027839348185807467
triton_copy_add_mul,8,4096,bfloat16,cuda,14.479999896138906,262144,18.103867533169026,0.0078125,0.00011418563371989876,0.0027839348185807467
torch_add_mul,8,8192,bfloat16,cuda,9.375999681651592,786432,83.87713595372789,0.0,0.0,0.0
torch_clone_add_mul,8,8192,bfloat16,cuda,13.024000450968742,1048576,80.5110537232825,0.0,0.0,0.0
triton_add_mul,8,8192,bfloat16,cuda,14.944000169634819,524288,35.083511379056134,0.0078125,0.0001162463886430487,0.002773101208731532
triton_copy_add_mul,8,8192,bfloat16,cuda,14.607999939471483,524288,35.89047112352115,0.0078125,0.0001162463886430487,0.002773101208731532
torch_add_mul,8,11008,bfloat16,cuda,9.312000125646591,1056768,113.48453455123014,0.0,0.0,0.0
torch_clone_add_mul,8,11008,bfloat16,cuda,12.992000207304955,1409024,108.45320023992566,0.0,0.0,0.0
triton_add_mul,8,11008,bfloat16,cuda,15.359999611973763,704512,45.86666782535615,0.0078125,0.00011546153109520674,0.0027456830721348524
triton_copy_add_mul,8,11008,bfloat16,cuda,15.359999611973763,704512,45.86666782535615,0.0078125,0.00011546153109520674,0.0027456830721348524
torch_add_mul,8,16384,bfloat16,cuda,9.920000098645687,1572864,158.5548371329888,0.0,0.0,0.0
torch_clone_add_mul,8,16384,bfloat16,cuda,13.167999684810638,2097152,159.26124318024372,0.0,0.0,0.0
triton_add_mul,8,16384,bfloat16,cuda,15.248000156134367,1048576,68.76810003036046,0.0078125,0.00011589568748604506,0.0027617388404905796
triton_copy_add_mul,8,16384,bfloat16,cuda,15.263999812304974,1048576,68.69601761621468,0.0078125,0.00011589568748604506,0.0027617388404905796
torch_add_mul,128,2048,bfloat16,cuda,9.903999976813793,3145728,317.62197166442337,0.0,0.0,0.0
torch_clone_add_mul,128,2048,bfloat16,cuda,13.311999849975109,4194304,315.0769266278081,0.0,0.0,0.0
triton_add_mul,128,2048,bfloat16,cuda,15.359999611973763,2097152,136.53333678245554,0.0078125,0.00011658202129183337,0.002780937124043703
triton_copy_add_mul,128,2048,bfloat16,cuda,15.263999812304974,2097152,137.39203523242935,0.0078125,0.00011658202129183337,0.002780937124043703
torch_add_mul,128,4096,bfloat16,cuda,9.632000233978033,6291456,653.1827083855476,0.0,0.0,0.0
torch_clone_add_mul,128,4096,bfloat16,cuda,13.295999728143215,8388608,630.912166931239,0.0,0.0,0.0
triton_add_mul,128,4096,bfloat16,cuda,15.200000256299973,4194304,275.9410479787051,0.0078125,0.00011629467189777642,0.002764888107776642
triton_copy_add_mul,128,4096,bfloat16,cuda,14.336000196635723,4194304,292.5714245584547,0.0078125,0.00011629467189777642,0.002764888107776642
torch_add_mul,128,8192,bfloat16,cuda,11.264000087976456,12582912,1117.0909003659715,0.0,0.0,0.0
torch_clone_add_mul,128,8192,bfloat16,cuda,15.359999611973763,16777216,1092.2666942596443,0.0,0.0,0.0
triton_add_mul,128,8192,bfloat16,cuda,15.359999611973763,8388608,546.1333471298221,0.0078125,0.00011620239820331335,0.0027641458436846733
triton_copy_add_mul,128,8192,bfloat16,cuda,16.35199971497059,8388608,513.0019658892276,0.0078125,0.00011620239820331335,0.0027641458436846733
torch_add_mul,128,11008,bfloat16,cuda,13.311999849975109,16908288,1270.1538604683515,0.0,0.0,0.0
torch_clone_add_mul,128,11008,bfloat16,cuda,18.687999807298183,22544384,1206.3561768229358,0.0,0.0,0.0
triton_add_mul,128,11008,bfloat16,cuda,17.40800030529499,11272192,647.5294004085775,0.0078125,0.00011618044663919136,0.002766371238976717
triton_copy_add_mul,128,11008,bfloat16,cuda,17.40800030529499,11272192,647.5294004085775,0.0078125,0.00011618044663919136,0.002766371238976717
torch_add_mul,128,16384,bfloat16,cuda,17.40800030529499,25165824,1445.6470334703126,0.0,0.0,0.0
torch_clone_add_mul,128,16384,bfloat16,cuda,24.224000051617622,33554432,1385.1730485675635,0.0,0.0,0.0
triton_add_mul,128,16384,bfloat16,cuda,20.479999482631683,16777216,819.2000206947331,0.0078125,0.0001163665292551741,0.002769086044281721
triton_copy_add_mul,128,16384,bfloat16,cuda,20.27199976146221,16777216,827.6053767469987,0.0078125,0.0001163665292551741,0.002769086044281721
